"1,Barbie","1,BARBIE"
"2,The Super Mario Bros. Movie","2,THE SUPER MARIO BROS. MOVIE"
"3,Spider-Man: Across the Spider-Verse","3,SPIDER-MAN: ACROSS THE SPIDER-VERSE"
"4,Guardians of the Galaxy Vol. 3","4,GUARDIANS OF THE GALAXY VOL. 3"
"5,Oppenheimer","5,OPPENHEIMER"
"6,The Little Mermaid","6,THE LITTLE MERMAID"
"7,Avatar: The Way of Water","7,AVATAR: THE WAY OF WATER"
"8,Ant-Man and the Wasp: Quantumania","8,ANT-MAN AND THE WASP: QUANTUMANIA"
"9,John Wick: Chapter 4","9,JOHN WICK: CHAPTER 4"
"10,Sound of Freedom","10,SOUND OF FREEDOM"
"11,Indiana Jones and the Dial of Destiny","11,INDIANA JONES AND THE DIAL OF DESTINY"
"12,Mission: Impossible - Dead Reckoning Part One","12,MISSION: IMPOSSIBLE - DEAD RECKONING PART ONE"
"13,Transformers: Rise of the Beasts","13,TRANSFORMERS: RISE OF THE BEASTS"
"14,Creed III","14,CREED III"
"15,Elemental","15,ELEMENTAL"
"16,Fast X","16,FAST X"
"Barbie,$594,254,460","barbie,$594,254,460"
"The Super Mario Bros. Movie,$574,759,600","the super mario bros. movie,$574,759,600"
"Spider-Man: Across the Spider-Verse,$381,178,195","spider-man: across the spider-verse,$381,178,195"
"Guardians of the Galaxy Vol. 3,$358,995,815","guardians of the galaxy vol. 3,$358,995,815"
"Oppenheimer,$300,144,670","oppenheimer,$300,144,670"
"The Little Mermaid,$297,895,447","the little mermaid,$297,895,447"
"Avatar: The Way of Water,$684,075,767","avatar: the way of water,$684,075,767"
"Ant-Man and the Wasp: Quantumania,$214,504,909","ant-man and the wasp: quantumania,$214,504,909"
"John Wick: Chapter 4,$187,131,806","john wick: chapter 4,$187,131,806"
"Sound of Freedom,$180,587,629","sound of freedom,$180,587,629"
"Indiana Jones and the Dial of Destiny,$174,116,627","indiana jones and the dial of destiny,$174,116,627"
"Mission: Impossible - Dead Reckoning Part One,$168,248,955","mission: impossible - dead reckoning part one,$168,248,955"
"Transformers: Rise of the Beasts,$157,066,392","transformers: rise of the beasts,$157,066,392"
"Creed III,$156,248,615","creed iii,$156,248,615"
"Elemental,$151,692,473","elemental,$151,692,473"
"Fast X,$145,960,660","fast x,$145,960,660"
"17,Puss in Boots: The Last Wish","17,PUSS IN BOOTS: THE LAST WISH"
"Puss in Boots: The Last Wish,$185,535,345","puss in boots: the last wish,$185,535,345"
"18,Scream VI","18,SCREAM VI"
"Scream VI,$108,161,389","scream vi,$108,161,389"
"19,The Flash","19,THE FLASH"
"The Flash,$108,133,313","the flash,$108,133,313"
"20,Teenage Mutant Ninja Turtles: Mutant Mayhem","20,TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM"
"Teenage Mutant Ninja Turtles: Mutant Mayhem,$99,847,538","teenage mutant ninja turtles: mutant mayhem,$99,847,538"
"21,M3GAN","21,M3GAN"
"M3GAN,$95,043,350","m3gan,$95,043,350"
"Dungeons & Dragons: Honor Among Thieves,$93,277,026","dungeons & dragons: honor among thieves,$93,277,026"
"22,Dungeons & Dragons: Honor Among Thieves","22,DUNGEONS & DRAGONS: HONOR AMONG THIEVES"
"23,Insidious: The Red Door","23,INSIDIOUS: THE RED DOOR"
"Insidious: The Red Door,$82,042,800","insidious: the red door,$82,042,800"
"24,Meg 2: The Trench","24,MEG 2: THE TRENCH"
"Meg 2: The Trench,$74,469,810","meg 2: the trench,$74,469,810"
"25,Evil Dead Rise","25,EVIL DEAD RISE"
"Evil Dead Rise,$67,233,054","evil dead rise,$67,233,054"
"26,Cocaine Bear","26,COCAINE BEAR"
"Cocaine Bear,$64,388,510","cocaine bear,$64,388,510"
"27,A Man Called Otto","27,A MAN CALLED OTTO"
"A Man Called Otto,$64,267,657","a man called otto,$64,267,657"
"28,Haunted Mansion","28,HAUNTED MANSION"
"Haunted Mansion,$62,291,150","haunted mansion,$62,291,150"
"29,Shazam! Fury of the Gods","29,SHAZAM! FURY OF THE GODS"
"Shazam! Fury of the Gods,$57,638,006","shazam! fury of the gods,$57,638,006"
"30,Air","30,AIR"
"Air,$52,460,106","air,$52,460,106"
"31,Jesus Revolution","31,JESUS REVOLUTION"
"Jesus Revolution,$52,102,987","jesus revolution,$52,102,987"
"32,No Hard Feelings","32,NO HARD FEELINGS"
"No Hard Feelings,$50,452,282","no hard feelings,$50,452,282"
"33,Blue Beetle","33,BLUE BEETLE"
"Blue Beetle,$46,566,539","blue beetle,$46,566,539"
"The Boogeyman,$43,244,282","the boogeyman,$43,244,282"
"34,The Boogeyman","34,THE BOOGEYMAN"
"35,Talk to Me","35,TALK TO ME"
"Talk to Me,$41,066,389","talk to me,$41,066,389"
"80 for Brady,$39,330,588","80 for brady,$39,330,588"
